"";"code_pcs";"intitule_pcs";"libelle"
"1";"10A1";"Exploitants agricoles en grandes cultures";"Agriculteur céréalier / Agricultrice céréalière"
"2";"10A1";"Exploitants agricoles en grandes cultures";"Agriculteur en grandes cultures / Agricultrice en grandes cultures"
"3";"10A1";"Exploitants agricoles en grandes cultures";"Exploitant agricole en grandes cultures / Exploitante agricole en grandes cultures"
"4";"10A1";"Exploitants agricoles en grandes cultures";"Aide familial d'exploitant agricole en grandes cultures / Aide familiale d'exploitant agricole en grandes cultures"
"5";"10A1";"Exploitants agricoles en grandes cultures";"Betteravier / Betteravière"
"6";"10A1";"Exploitants agricoles en grandes cultures";"Céréalier / Céréalière"
"7";"10A1";"Exploitants agricoles en grandes cultures";"Cultivateur / Cultivatrice"
"8";"10A1";"Exploitants agricoles en grandes cultures";"Cultivateur de cultures industrielles / Cultivatrice de cultures industrielles"
"9";"10A1";"Exploitants agricoles en grandes cultures";"Cultivateur de légumes de plein champ / Cultivatrice de légumes de plein champ"
"10";"10A1";"Exploitants agricoles en grandes cultures";"Cultivateur de pommes de terre / Cultivatrice de pommes de terre"
"11";"10A1";"Exploitants agricoles en grandes cultures";"Cultivateur de tabac / Cultivatrice de tabac"
"12";"10A1";"Exploitants agricoles en grandes cultures";"Maïsiculteur / Maïsicultrice"
"13";"10A1";"Exploitants agricoles en grandes cultures";"Riziculteur / Rizicultrice"
"14";"10A1";"Exploitants agricoles en grandes cultures";"Sojaculteur / Sojacultrice"
"15";"10A2";"Maraîchers, horticulteurs et pépiniéristes";"Agriculteur en maraîchage / Agricultrice en maraîchage"
"16";"10A2";"Maraîchers, horticulteurs et pépiniéristes";"Exploitant agricole en maraîchage / Exploitante agricole en maraîchage"
"17";"10A2";"Maraîchers, horticulteurs et pépiniéristes";"Horticulteur / Horticultrice"
"18";"10A2";"Maraîchers, horticulteurs et pépiniéristes";"Maraîcher / Maraîchère"
"19";"10A2";"Maraîchers, horticulteurs et pépiniéristes";"Agriculteur en horticulture / Agricultrice en horticulture"
"20";"10A2";"Maraîchers, horticulteurs et pépiniéristes";"Aide familial d'exploitant agricole en maraîchage / Aide familiale d'exploitant agricole en maraîchage"
"21";"10A2";"Maraîchers, horticulteurs et pépiniéristes";"Bulbiculteur / Bulbicultrice"
"22";"10A2";"Maraîchers, horticulteurs et pépiniéristes";"Cressiculteur / Cressicultrice"
"23";"10A2";"Maraîchers, horticulteurs et pépiniéristes";"Cultivateur de champignons / Cultivatrice de champignons"
"24";"10A2";"Maraîchers, horticulteurs et pépiniéristes";"Exploitant agricole en horticulture / Exploitante agricole en horticulture"
"25";"10A2";"Maraîchers, horticulteurs et pépiniéristes";"Floriculteur / Floricultrice"
"26";"10A2";"Maraîchers, horticulteurs et pépiniéristes";"Gérant d'exploitation maraîchère / Gérante d'exploitation maraîchère"
"27";"10A2";"Maraîchers, horticulteurs et pépiniéristes";"Pépiniériste"
"28";"10A2";"Maraîchers, horticulteurs et pépiniéristes";"Primeur (producteur) / Primeur (productrice)"
